,match_type,analysis_center_quality_flag,analysis_rmax,analysis_vmax,vmax,sar_aeqd_path,sargeo_path,nan_ratio_within_100km,split,tcprimed_env_exist,tcprimed_env_path,index_in_env_ds,shear_magnitude_1,shear_direction_1,shear_magnitude_2,shear_direction_2,shear_magnitude_3,shear_direction_3,shear_magnitude_4,shear_direction_4,shear_magnitude_5,shear_direction_5,shear_magnitude_6,shear_direction_6,shear_magnitude_7,shear_direction_7,shear_magnitude_8,shear_direction_8,cyclone_phase_space_thermal_wind_1,cyclone_phase_space_thermal_wind_2,eye_lon,eye_lat,storm_lat,storm_lon,haversin_distance_km,storm_speed,storm_speed_meridional_component,storm_speed_zonal_component,cyclone_name,cyclone_id,sar_time
0,exact_contains,3.0,88000.0,20.414132306287613,19,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnd-owi-cm-20250217t134001-20250217t134117-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnd-owi-cm-20250217t134001-20250217t134117-00003-xxxxx_ll_gd_GEO-IRWIN.nc,,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,71.0,5.9016533,33.49121,5.3492393,56.542732,4.4672127,73.48932,4.488575,77.05008,11.653145,100.18403,13.42178,103.013954,13.372948,97.67831,13.504185,97.94207,109.68888,72.9428,76.93708335477577,-29.658827831879663,-29.77972221374512,77.2838134765625,36.0810520997394,3.7,-0.7,-3.6000001,TALIAH,sh142025,2025-02-17 13:40:01
1,exact_contains,0.0,29000.0,41.00188148147798,36,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnc-owi-cm-20250202t214725-20250202t214840-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnc-owi-cm-20250202t214725-20250202t214840-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,13.0,12.707611,264.3966,12.997551,274.65576,11.424248,279.10123,11.714188,279.354,12.304749,277.20544,14.958462,288.146,15.373535,293.37177,15.913738,294.43228,55.790558,133.31136,115.29339290503908,-14.980990784276337,-15.152109146118164,115.30577850341795,19.07391091529023,2.5,-0.8,-2.4,TALIAH,sh142025,2025-02-02 21:47:25
2,exact_contains,1.75,158000.0,20.36140148467393,21,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclna-owi-cm-20250214t124545-20250214t124701-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclna-owi-cm-20250214t124545-20250214t124701-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.4462715105162524,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,59.0,7.914448,140.35797,8.0395775,140.6437,7.8839264,141.81415,7.961754,142.52301,13.517918,135.396,14.027603,137.11592,13.981823,135.8081,14.064228,136.54994,166.21191,84.35728,84.24838128029492,-24.04896919399873,-24.15639877319336,84.07135772705078,21.576501032016765,3.9,-1.7,-3.5,TALIAH,sh142025,2025-02-14 12:45:45
3,exact_contains,0.7,45000.0,39.48039259259243,44,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm3-sclna-owi-cm-20250204t105538-20250204t105652-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm3-sclna-owi-cm-20250204t105538-20250204t105652-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1792224346717654,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,19.0,10.876411,272.05664,11.595158,275.3866,9.46944,276.99115,9.634247,278.92538,7.384926,255.45074,9.42366,277.56262,11.975132,275.78226,12.522968,277.61758,58.11008,137.82832,110.82341752054074,-15.514734202811198,-15.56638240814209,110.64187622070312,20.27869301719481,4.2000003,-1.0,-4.1,TALIAH,sh142025,2025-02-04 10:55:38
4,exact_contains,0.0,66000.0,24.64941947929802,23,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnb-owi-cm-20250210t121608-20250210t121722-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnb-owi-cm-20250210t121608-20250210t121722-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,43.0,2.8038712,57.443916,3.08313,33.76596,3.2326775,17.85794,3.371544,17.621643,4.0124664,282.2279,3.8842812,293.56958,3.9025917,309.36768,3.9972038,311.08765,74.71296,110.42136,92.75841482722151,-14.220931297704425,-14.788273811340332,92.9714584350586,67.12505015765545,4.1,-0.3,-4.1,TALIAH,sh142025,2025-02-10 12:16:08
5,exact_contains,0.3,126000.0,22.62235135484788,31,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnd-owi-cm-20250206t114338-20250206t114453-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnd-owi-cm-20250206t114338-20250206t114453-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,27.0,13.812435,246.80711,10.91914,252.45598,7.90987,264.36914,7.601616,267.276,10.627674,261.57217,14.300758,274.13376,16.5806,279.39246,17.200157,280.28815,140.81927,72.08824,102.54604202134574,-14.612522237027758,-14.80366039276123,102.5439453125,21.25478948443752,3.5,-1.3000001,-3.2,TALIAH,sh142025,2025-02-06 11:43:38
6,exact_contains,0.6,173000.0,15.875702658883478,23,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclna-owi-cm-20250208t115942-20250208t120059-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclna-owi-cm-20250208t115942-20250208t120059-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,35.0,7.1590767,277.40878,7.86409,286.78323,6.373188,297.1743,6.4372787,299.34482,6.4403305,201.29202,6.130554,238.28436,7.3162537,258.09933,7.6184044,261.48425,27.28488,82.34296,95.26441737564645,-15.619139388407,-15.59580421447754,95.29044342041016,3.8080888999658455,2.6000001,-1.8000001,-1.9,TALIAH,sh142025,2025-02-08 11:59:42
7,exact_contains,1.7999999999999998,125000.0,23.53298830029534,26,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclna-owi-cm-20250216t000710-20250216t000825-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclna-owi-cm-20250216t000710-20250216t000825-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1827915869980879,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,65.0,6.6478653,96.32654,7.23843,114.67984,4.883812,103.882164,4.8304024,105.54165,16.017506,112.34446,16.717941,109.305725,13.591167,106.12412,13.563698,105.62408,143.68816,39.55392,81.43711366589676,-26.2144250154766,-26.614511489868164,81.78712463378906,56.51630685473528,3.5,0.2,-3.5,TALIAH,sh142025,2025-02-16 00:07:10
8,exact_contains,3.05,53000.0,35.03180119047619,44,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/s1a-ew-owi-cm-20250204t111221-20250204t111324-000003-_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/s1a-ew-owi-cm-20250204t111221-20250204t111324-000003-071E7C_ll_gd_GEO-IRWIN.nc,0.7004461440407903,,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,19.0,10.876411,272.05664,11.595158,275.3866,9.46944,276.99115,9.634247,278.92538,7.384926,255.45074,9.42366,277.56262,11.975132,275.78226,12.522968,277.61758,58.11008,137.82832,109.86865946860787,-15.732337347918357,-15.57291030883789,110.61649322509766,82.01036423881358,4.2000003,-1.0,-4.1,TALIAH,sh142025,2025-02-04 11:12:21
9,exact_contains,3.9,,,21,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnd-owi-cm-20250218t134745-20250218t134859-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnd-owi-cm-20250218t134745-20250218t134859-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.2476736775015933,train,True,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/TCPRIMED_v01r01-preliminary_SH142025_env_s20250130180000_e20250221000000.nc,75.0,9.933346,50.646606,8.183022,49.69597,6.182438,61.916847,5.9001274,63.136734,7.6275597,114.18529,11.462395,109.327705,14.120689,107.569305,14.700569,107.316536,67.87648,30.58104,76.4302321388385,-30.895991401894417,-31.0376091003418,75.95713806152344,47.77717765808514,3.8,-0.7,-3.8,TALIAH,sh142025,2025-02-18 13:47:45
