,sid,name,date,wind_speed (m/s),lon,lat,ir_path
16,sh062024,ANGGREK,2024-01-12 12:00:00,10,92.9,-10.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240112120000.nc
17,sh062024,ANGGREK,2024-01-12 15:00:00,10,93.05,-10.25,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240112150000.nc
18,sh062024,ANGGREK,2024-01-12 18:00:00,10,93.2,-10.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240112180000.nc
19,sh062024,ANGGREK,2024-01-12 21:00:00,10,93.3,-10.65,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240112210000.nc
20,sh062024,ANGGREK,2024-01-13 00:00:00,10,93.4,-10.8,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113000000.nc
21,sh062024,ANGGREK,2024-01-13 03:00:00,10,93.5,-11.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113030000.nc
22,sh062024,ANGGREK,2024-01-13 06:00:00,10,93.6,-11.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113060000.nc
23,sh062024,ANGGREK,2024-01-13 09:00:00,12,93.7,-11.35,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113090000.nc
24,sh062024,ANGGREK,2024-01-13 12:00:00,13,93.8,-11.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113120000.nc
25,sh062024,ANGGREK,2024-01-13 15:00:00,13,93.9,-11.55,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113150000.nc
26,sh062024,ANGGREK,2024-01-13 18:00:00,13,94.0,-11.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113180000.nc
27,sh062024,ANGGREK,2024-01-13 21:00:00,13,94.0,-11.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240113210000.nc
28,sh062024,ANGGREK,2024-01-14 00:00:00,13,94.0,-11.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240114000000.nc
29,sh062024,ANGGREK,2024-01-14 03:00:00,13,93.9,-11.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240114030000.nc
30,sh062024,ANGGREK,2024-01-14 06:00:00,13,93.8,-10.8,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240114060000.nc
31,sh062024,ANGGREK,2024-01-14 09:00:00,13,93.8,-10.7,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240114090000.nc
32,sh062024,ANGGREK,2024-01-14 12:00:00,13,93.8,-10.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240114120000.nc
33,sh062024,ANGGREK,2024-01-14 15:00:00,14,93.75,-10.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240114150000.nc
34,sh062024,ANGGREK,2024-01-14 18:00:00,15,93.7,-10.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240114180000.nc
