Unnamed: 0,cyclone,canal,fichier,lat_centre,lon_centre,sar_acquisition_time,sar_xy,sar_inter,sar_path
222,al122024,IRWIN,rcm1-sclnd-owi-cm-20241001t205843-20241001t210000-00003-______ll_gd_GEO-IRWIN.nc,16.206132888793945,319.8625183105469,"2024-10-01T20:58:43,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm1-sclnd-owi-cm-20241001t205843-20241001t210000-00003-xxxxx_aeqd.nc,rcm1-sclnd-owi-cm-20241001t205843-20241001t210000-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sclnd/rcm-1_sclnd/2024/275/RCM1_OK3292649_PK3294782_1_SCLND_20241001_205843_VV_VH_GRD/rcm1-sclnd-owi-cm-20241001t205843-20241001t210000-00003-xxxxx.nc
223,al122024,IRWIN,s1a-ew-owi-cm-20241002t083611-20241002t083727-000003-06D630_ll_gd_GEO-IRWIN.nc,17.41216278076172,317.88250732421875,"2024-10-02T08:36:11,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/s1a-ew-owi-cm-20241002t083611-20241002t083727-000003-06D630_aeqd.nc,s1a-ew-owi-cm-20241002t083611-20241002t083727-000003-06D630.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/EW/S1A_EW_GRDM_1S/2024/276/S1A_EW_GRDM_1SDV_20241002T083611_20241002T083727_055921_06D630_56DC/s1a-ew-owi-cm-20241002t083611-20241002t083727-000003-06D630.nc
224,al122024,IRWIN,rcm2-sc50mc-owi-cm-20241006t211244-20241006t211403-00003-______ll_gd_GEO-IRWIN.nc,37.23748016357422,313.8998107910156,"2024-10-06T21:12:44,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm2-sc50mc-owi-cm-20241006t211244-20241006t211403-00003-xxxxx_aeqd.nc,rcm2-sc50mc-owi-cm-20241006t211244-20241006t211403-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sc50mc/rcm-2_sc50mc/2024/280/RCM2_OK3300103_PK3303611_1_SC50MC_20241006_211246_HH_HV_GRD/rcm2-sc50mc-owi-cm-20241006t211244-20241006t211403-00003-xxxxx.nc
225,al122024,IRWIN,rcm1-sc50ma-owi-cm-20241006t092222-20241006t092339-00003-______ll_gd_GEO-IRWIN.nc,33.68267059326172,310.9521789550781,"2024-10-06T09:22:22,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm1-sc50ma-owi-cm-20241006t092222-20241006t092339-00003-xxxxx_aeqd.nc,rcm1-sc50ma-owi-cm-20241006t092222-20241006t092339-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sc50ma/rcm-1_sc50ma/2024/280/RCM1_OK3300102_PK3302706_1_SC50MA_20241006_092202_HH_HV_GRD/rcm1-sc50ma-owi-cm-20241006t092222-20241006t092339-00003-xxxxx.nc
226,al122024,IRWIN,rcm2-sc50ma-owi-cm-20241007t085627-20241007t085745-00003-______ll_gd_GEO-IRWIN.nc,40.322383880615234,318.76470947265625,"2024-10-07T08:56:27,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm2-sc50ma-owi-cm-20241007t085627-20241007t085745-00003-xxxxx_aeqd.nc,rcm2-sc50ma-owi-cm-20241007t085627-20241007t085745-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sc50ma/rcm-2_sc50ma/2024/281/RCM2_OK3302859_PK3304275_1_SC50MA_20241007_085628_HH_HV_GRD/rcm2-sc50ma-owi-cm-20241007t085627-20241007t085745-00003-xxxxx.nc
227,al122024,IRWIN,rcm1-sclna-owi-cm-20241003t090145-20241003t090300-00003-______ll_gd_GEO-IRWIN.nc,19.84394264221192,314.9036560058594,"2024-10-03T09:01:45,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm1-sclna-owi-cm-20241003t090145-20241003t090300-00003-xxxxx_aeqd.nc,rcm1-sclna-owi-cm-20241003t090145-20241003t090300-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sclna/rcm-1_sclna/2024/277/RCM1_OK3294595_PK3297924_1_SCLNA_20241003_090147_VV_VH_GRD/rcm1-sclna-owi-cm-20241003t090145-20241003t090300-00003-xxxxx.nc
228,al122024,IRWIN,rcm1-sclnd-owi-cm-20240930t205022-20240930t205139-00003-______ll_gd_GEO-IRWIN.nc,13.931259155273438,324.23779296875,"2024-09-30T20:50:22,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm1-sclnd-owi-cm-20240930t205022-20240930t205139-00003-xxxxx_aeqd.nc,rcm1-sclnd-owi-cm-20240930t205022-20240930t205139-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sclnd/rcm-1_sclnd/2024/274/RCM1_OK3290662_PK3293300_1_SCLND_20240930_205022_VV_VH_GRD/rcm1-sclnd-owi-cm-20240930t205022-20240930t205139-00003-xxxxx.nc
229,al122024,IRWIN,s1a-iw-owi-cm-20241009t064132-20241009t064312-000003-06DA1F_ll_gd_GEO-IRWIN.nc,43.634765625,351.0749816894531,"2024-10-09T06:41:32,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/s1a-iw-owi-cm-20241009t064132-20241009t064312-000003-06DA1F_aeqd.nc,s1a-iw-owi-cm-20241009t064132-20241009t064312-000003-06DA1F.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2024/283/S1A_IW_GRDH_1SDV_20241009T064132_20241009T064312_056022_06DA1F_0BD5XC849XD760XD835/s1a-iw-owi-cm-20241009t064132-20241009t064312-000003-06DA1F.nc
230,al122024,IRWIN,rcm1-sclnb-owi-cm-20241004t090911-20241004t091027-00003-______ll_gd_GEO-IRWIN.nc,22.224929809570312,311.6932983398437,"2024-10-04T09:09:11,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm1-sclnb-owi-cm-20241004t090911-20241004t091027-00003-xxxxx_aeqd.nc,rcm1-sclnb-owi-cm-20241004t090911-20241004t091027-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sclnb/rcm-1_sclnb/2024/278/RCM1_OK3296799_PK3299524_1_SCLNB_20241004_090913_VV_VH_GRD/rcm1-sclnb-owi-cm-20241004t090911-20241004t091027-00003-xxxxx.nc
231,al122024,IRWIN,rcm1-sclnc-owi-cm-20241007t201754-20241007t201912-00003-______ll_gd_GEO-IRWIN.nc,43.03408050537109,324.6976013183594,"2024-10-07T20:17:54,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd/rcm1-sclnc-owi-cm-20241007t201754-20241007t201912-00003-xxxxx_aeqd.nc,rcm1-sclnc-owi-cm-20241007t201754-20241007t201912-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sclnc/rcm-1_sclnc/2024/281/RCM1_OK3302881_PK3304982_1_SCLNC_20241007_201755_VV_VH_GRD/rcm1-sclnc-owi-cm-20241007t201754-20241007t201912-00003-xxxxx.nc
