cyclone,canal,fichier,lat_centre,lon_centre,sar_acquisition_time,sar_xy,sar_inter,sar_path
al102019,IRWIN,s1a-iw-owi-cm-20190920t221952-20190920t222132-000003-034DF5_ll_gd_GEO-IRWIN.nc,19.5488319396973,298.289184570313,"2019-09-20T22:19:52,000",,s1a-iw-owi-cm-20190920t221837-20190920t222132-000003-034DF5.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2019/263/S1A_IW_GRDH_1SDV_20190920T221837_20190920T222132_029111_034DF5_52D2X553CX854EX8846XAA90XE344XFCC5/s1a-iw-owi-cm-20190920t221837-20190920t222132-000003-034DF5.nc
al012024,IRWIN,rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-______ll_gd_GEO-IRWIN.nc,21.5119724273682,264.639770507813,"2024-06-20T00:46:03,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-xxxxx_aeqd.nc,rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sclnd/rcm-1_sclnd/2024/172/RCM1_OK3122910_PK3127940_1_SCLND_20240620_004605_VV_VH_GRD/rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-xxxxx.nc
ep192022,IRWIN,s1a-iw-owi-cm-20221022t130700-20221022t130753-000003-057241_ll_gd_GEO-IRWIN.nc,17.5092105865479,253.851669311523,"2022-10-22T13:07:00,000",,s1a-iw-owi-cm-20221022t130610-20221022t130753-000003-057241.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2022/295/S1A_IW_GRDH_1SDV_20221022T130610_20221022T130753_045555_057241_212FX7B41XA9AEXE506/s1a-iw-owi-cm-20221022t130610-20221022t130753-000003-057241.nc
ep192022,IRWIN,rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-______ll_gd_GEO-IRWIN.nc,17.4705791473389,253.874114990234,"2022-10-22T12:47:42,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-xxxxx_aeqd.nc,rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnd/rcm-2_sclnd/2022/295/RCM2_OK2378142_PK2381310_1_SCLND_20221022_124753_VV_VH_GRD/rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-xxxxx.nc
ep122021,IRWIN,rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-______ll_gd_GEO-IRWIN.nc,18.1374263763428,228.553558349609,"2021-08-18T14:39:06,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-xxxxx_aeqd.nc,rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sc100ma/rcm-2_sc100ma/2021/230/RCM2_OK2378048_PK2383884_1_SC100MA_20210818_143919_VV_VH_GRD/rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-xxxxx.nc
ep122021,IRWIN,s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612_ll_gd_GEO-IRWIN.nc,21.0800457000732,204.254409790039,"2021-08-23T16:15:35,000",/scale/user/mtannaou/alternance/donnees_sar_changes/s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612_aeqd.nc,s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2021/235/S1A_IW_GRDH_1SDV_20210823T161535_20210823T161654_039359_04A612_50E8X7696X9156/s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612.nc
ep042021,IRWIN,s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E_ll_gd_GEO-IRWIN.nc,17.6729393005371,256.568603515625,"2021-06-19T12:50:29,000",/scale/user/mtannaou/alternance/donnees_sar_changes/s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E_aeqd.nc,s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2021/170/S1A_IW_GRDH_1SDV_20210619T125029_20210619T125121_038409_04884E_85A5XDA36/s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E.nc
io032024,IRWIN,rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-______ll_gd_GEO-IRWIN.nc,20.7456722259522,86.9582290649414,"2024-10-25T00:10:48,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-xxxxx_aeqd.nc,rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclna/rcm-2_sclna/2024/299/RCM2_OK3329262_PK3331883_1_SCLNA_20241025_001049_VV_VH_GRD/rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-xxxxx.nc
io032024,IRWIN,rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-______ll_gd_GEO-IRWIN.nc,21.2442836761475,86.4478912353516,"2024-10-25T12:25:36,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-xxxxx_aeqd.nc,rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnd/rcm-2_sclnd/2024/299/RCM2_OK3329741_PK3332509_1_SCLND_20241025_122537_VV_VH_GRD/rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-xxxxx.nc
io032024,IRWIN,rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-______ll_gd_GEO-IRWIN.nc,19.6507530212402,87.5547332763672,"2024-10-24T12:17:20,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-xxxxx_aeqd.nc,rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnc/rcm-2_sclnc/2024/298/RCM2_OK3329250_PK3330902_1_SCLNC_20241024_121721_VV_VH_GRD/rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-xxxxx.nc
