annee,bassin,cyclone_numero,date_debut,date_fin,fichier
1987,AL,2,1987-08-08T00:00:00,1987-08-28T00:00:00,TCPRIMED_v01r01-final_AL021987_env_s19870808000000_e19870828000000.nc
1987,AL,3,1987-08-09T12:00:00,1987-08-17T06:00:00,TCPRIMED_v01r01-final_AL031987_env_s19870809120000_e19870817060000.nc
1987,AL,4,1987-08-13T00:00:00,1987-08-15T12:00:00,TCPRIMED_v01r01-final_AL041987_env_s19870813000000_e19870815120000.nc
1987,AL,5,1987-08-18T00:00:00,1987-08-24T06:00:00,TCPRIMED_v01r01-final_AL051987_env_s19870818000000_e19870824060000.nc
1987,AL,6,1987-08-30T12:00:00,1987-09-02T18:00:00,TCPRIMED_v01r01-final_AL061987_env_s19870830120000_e19870902180000.nc
1987,AL,7,1987-09-05T12:00:00,1987-09-10T18:00:00,TCPRIMED_v01r01-final_AL071987_env_s19870905120000_e19870910180000.nc
1987,AL,8,1987-09-06T00:00:00,1987-09-08T18:00:00,TCPRIMED_v01r01-final_AL081987_env_s19870906000000_e19870908180000.nc
1987,AL,9,1987-09-07T00:00:00,1987-09-08T12:00:00,TCPRIMED_v01r01-final_AL091987_env_s19870907000000_e19870908120000.nc
1987,AL,10,1987-09-08T18:00:00,1987-09-20T18:00:00,TCPRIMED_v01r01-final_AL101987_env_s19870908180000_e19870920180000.nc
1987,AL,11,1987-09-13T12:00:00,1987-09-17T12:00:00,TCPRIMED_v01r01-final_AL111987_env_s19870913120000_e19870917120000.nc
1987,AL,12,1987-09-20T00:00:00,1987-09-26T18:00:00,TCPRIMED_v01r01-final_AL121987_env_s19870920000000_e19870926180000.nc
1987,AL,13,1987-10-09T06:00:00,1987-10-14T00:00:00,TCPRIMED_v01r01-final_AL131987_env_s19871009060000_e19871014000000.nc
1987,AL,14,1987-10-31T18:00:00,1987-11-04T18:00:00,TCPRIMED_v01r01-final_AL141987_env_s19871031180000_e19871104180000.nc
1987,CP,1,1987-08-26T00:00:00,1987-08-29T18:00:00,TCPRIMED_v01r01-final_CP011987_env_s19870826000000_e19870829180000.nc
1987,CP,2,1987-09-21T18:00:00,1987-09-27T18:00:00,TCPRIMED_v01r01-final_CP021987_env_s19870921180000_e19870927180000.nc
1987,EP,3,1987-07-05T18:00:00,1987-07-10T06:00:00,TCPRIMED_v01r01-final_EP031987_env_s19870705180000_e19870710060000.nc
1987,EP,4,1987-07-15T00:00:00,1987-07-20T00:00:00,TCPRIMED_v01r01-final_EP041987_env_s19870715000000_e19870720000000.nc
1987,EP,5,1987-07-22T00:00:00,1987-07-26T12:00:00,TCPRIMED_v01r01-final_EP051987_env_s19870722000000_e19870726120000.nc
1987,EP,6,1987-07-24T06:00:00,1987-07-31T12:00:00,TCPRIMED_v01r01-final_EP061987_env_s19870724060000_e19870731120000.nc
1987,EP,7,1987-07-28T00:00:00,1987-08-03T18:00:00,TCPRIMED_v01r01-final_EP071987_env_s19870728000000_e19870803180000.nc
1987,EP,8,1987-07-31T18:00:00,1987-08-09T06:00:00,TCPRIMED_v01r01-final_EP081987_env_s19870731180000_e19870809060000.nc
1987,EP,9,1987-08-03T18:00:00,1987-08-09T06:00:00,TCPRIMED_v01r01-final_EP091987_env_s19870803180000_e19870809060000.nc
1987,EP,10,1987-08-13T18:00:00,1987-08-22T00:00:00,TCPRIMED_v01r01-final_EP101987_env_s19870813180000_e19870822000000.nc
1987,EP,11,1987-08-28T18:00:00,1987-08-30T18:00:00,TCPRIMED_v01r01-final_EP111987_env_s19870828180000_e19870830180000.nc
1987,EP,12,1987-08-29T12:00:00,1987-09-03T12:00:00,TCPRIMED_v01r01-final_EP121987_env_s19870829120000_e19870903120000.nc
1987,EP,13,1987-09-09T12:00:00,1987-09-16T12:00:00,TCPRIMED_v01r01-final_EP131987_env_s19870909120000_e19870916120000.nc
1987,EP,14,1987-09-14T12:00:00,1987-09-20T12:00:00,TCPRIMED_v01r01-final_EP141987_env_s19870914120000_e19870920120000.nc
1987,EP,15,1987-09-20T00:00:00,1987-09-26T18:00:00,TCPRIMED_v01r01-final_EP151987_env_s19870920000000_e19870926180000.nc
1987,EP,16,1987-09-30T12:00:00,1987-10-01T12:00:00,TCPRIMED_v01r01-final_EP161987_env_s19870930120000_e19871001120000.nc
1987,EP,17,1987-10-05T18:00:00,1987-10-12T06:00:00,TCPRIMED_v01r01-final_EP171987_env_s19871005180000_e19871012060000.nc
1987,EP,18,1987-10-27T00:00:00,1987-10-31T06:00:00,TCPRIMED_v01r01-final_EP181987_env_s19871027000000_e19871031060000.nc
1987,IO,4,1987-10-14T00:00:00,1987-10-16T12:00:00,TCPRIMED_v01r01-final_IO041987_env_s19871014000000_e19871016120000.nc
1987,IO,5,1987-10-30T00:00:00,1987-11-03T06:00:00,TCPRIMED_v01r01-final_IO051987_env_s19871030000000_e19871103060000.nc
1987,IO,6,1987-11-08T00:00:00,1987-11-13T12:00:00,TCPRIMED_v01r01-final_IO061987_env_s19871108000000_e19871113120000.nc
1987,WP,5,1987-07-06T12:00:00,1987-07-16T12:00:00,TCPRIMED_v01r01-final_WP051987_env_s19870706120000_e19870716120000.nc
1987,WP,6,1987-07-15T06:00:00,1987-07-22T00:00:00,TCPRIMED_v01r01-final_WP061987_env_s19870715060000_e19870722000000.nc
