cyclone,fichier
al102019,s1a-iw-owi-cm-20190920t221952-20190920t222132-000003-034DF5_ll_gd_GEO-IRWIN.nc
ep192022,s1a-iw-owi-cm-20221022t130700-20221022t130753-000003-057241_ll_gd_GEO-IRWIN.nc
sh122022,s1a-ew-owi-cm-20220213t143725-20220213t143926-000003-04FCF7_ll_gd_GEO-IRWIN.nc
ep052024,rcm2-sc50mb-owi-cm-20240807t134355-20240807t134513-00003-______ll_gd_GEO-IRWIN.nc
ep052024,rcm2-sc50ma-owi-cm-20240807t014852-20240807t015009-00003-______ll_gd_GEO-IRWIN.nc
al082023,rcm1-sc50mb-owi-cm-20230831t100925-20230831t101309-00003-______ll_gd_GEO-IRWIN.nc
al082023,s1a-iw-owi-cm-20230830t222518-20230830t222612-000003-0607CE_ll_gd_GEO-IRWIN.nc
wp042021,rcm2-sc50ma-owi-cm-20210603t101325-20210603t101821-00003-______ll_gd_GEO-IRWIN.nc
al282020,s1b-iw-owi-cm-20201026t235804-20201026t235944-000003-02D99A_ll_gd_GEO-IRWIN.nc
al022024,s1a-iw-owi-cm-20240705t114427-20240705t114546-000003-06A64E_ll_gd_GEO-IRWIN.nc
al132020,s1a-iw-owi-cm-20200827t000908-20200827t001138-000003-03F518_ll_gd_GEO-IRWIN.nc
sh032019,s1a-ew-owi-cm-20181110t020115-20181110t020319-000003-02B0A7_ll_gd_GEO-IRWIN.nc
al082021,rcm1-sc50mc-owi-cm-20210817t100853-20210817t101301-00003-______ll_gd_GEO-IRWIN.nc
al082021,rcm1-sc50mc-owi-cm-20210818t101756-20210818t102104-00003-______ll_gd_GEO-IRWIN.nc
al142021,s1a-iw-owi-cm-20210913t002506-20210913t002621-000003-04B04F_ll_gd_GEO-IRWIN.nc
sh022020,s1b-iw-owi-cm-20191208t022442-20191208t022601-000003-024608_ll_gd_GEO-IRWIN.nc
sh132019,s1b-ew-owi-cm-20190208t015957-20190208t020219-000003-01BB5C_ll_gd_GEO-IRWIN.nc
wp112020,s1a-iw-owi-cm-20200907t092349-20200907t092506-000003-03FAED_ll_gd_GEO-IRWIN.nc
wp112020,s1a-ew-owi-cm-20200904t210200-20200904t210504-000003-03F9A9_ll_gd_GEO-IRWIN.nc
wp112020,s1b-iw-owi-cm-20200906t213202-20200906t213312-000003-02C2BE_ll_gd_GEO-IRWIN.nc
wp052023,rcm3-sc50mc-owi-cm-20230726t100805-20230726t100935-00003-______ll_gd_GEO-IRWIN.nc
wp032020,s1a-iw-owi-cm-20200803t100117-20200803t100257-000003-03E924_ll_gd_GEO-IRWIN.nc
al242020,s1a-iw-owi-cm-20200918t183534-20200918t183649-000003-0400C8_ll_gd_GEO-IRWIN.nc
al242020,s1b-iw-owi-cm-20200918t064235-20200918t064340-000003-02C7F6_ll_gd_GEO-IRWIN.nc
ep092020,rcm1-sc50ma-owi-cm-20200812t014959-20200812t015243-00003-______ll_gd_GEO-IRWIN.nc
wp182021,s1a-iw-owi-cm-20210908t100621-20210908t100801-000003-04ADF7_ll_gd_GEO-IRWIN.nc
wp182021,s1a-iw-owi-cm-20210907t213854-20210907t214009-000003-04ADC3_ll_gd_GEO-IRWIN.nc
wp242021,s1a-iw-owi-cm-20211011t215414-20211011t215508-000003-04BEC0_ll_gd_GEO-IRWIN.nc
al052024,rcm1-sclna-owi-cm-20240820t092636-20240820t092753-00003-______ll_gd_GEO-IRWIN.nc
al052024,rcm3-sclnb-owi-cm-20240818t221028-20240818t221048-00003-______ll_gd_GEO-IRWIN.nc
al052024,s1a-iw-owi-cm-20240815t224633-20240815t224725-000003-06BB7E_ll_gd_GEO-IRWIN.nc
al062024,s1a-iw-owi-cm-20240909t002423-20240909t002538-000003-06C8BE_ll_gd_GEO-IRWIN.nc
sh222019,s1a-ew-owi-cm-20190329t140231-20190329t140436-000003-02F9EC_ll_gd_GEO-IRWIN.nc
io052019,s1b-iw-owi-cm-20191031t005540-20191031t005626-000003-023451_ll_gd_GEO-IRWIN.nc
sh122023,s1a-iw-owi-cm-20230213t172916-20230213t173031-000003-05AA87_ll_gd_GEO-IRWIN.nc
ep182023,s1a-iw-owi-cm-20231024t004708-20231024t004802-000003-0622AE_ll_gd_GEO-IRWIN.nc
sh012024,s1a-iw-owi-cm-20231024t071330-20231024t071535-000003-0622CF_ll_gd_GEO-IRWIN.nc
al092021,s1a-iw-owi-cm-20210829t000047-20210829t000227-000003-04A8B3_ll_gd_GEO-IRWIN.nc
al092021,s1b-iw-owi-cm-20210904t102144-20210904t102324-000003-03681F_ll_gd_GEO-IRWIN.nc
al152021,rcm2-sc50ma-owi-cm-20210922t202606-20210922t202926-00003-______ll_gd_GEO-IRWIN.nc
al152021,rcm2-sc50mb-owi-cm-20210923t203405-20210923t203745-00003-______ll_gd_GEO-IRWIN.nc
wp012024,s1a-iw-owi-cm-20240526t095829-20240526t095928-000003-069204_ll_gd_GEO-IRWIN.nc
al262020,s1b-iw-owi-cm-20201007t113512-20201007t113652-000003-02D0BA_ll_gd_GEO-IRWIN.nc
al262020,s1a-iw-owi-cm-20201005t233309-20201005t233449-000003-0409B0_ll_gd_GEO-IRWIN.nc
al262020,s1b-iw-owi-cm-20201008t000702-20201008t000846-000003-02D0FE_ll_gd_GEO-IRWIN.nc
al052022,rcm2-sc50ma-owi-cm-20220906t203409-20220906t203749-00003-______ll_gd_GEO-IRWIN.nc
wp292019,s1a-iw-owi-cm-20191201t212303-20191201t212357-000003-037255_ll_gd_GEO-IRWIN.nc
ep042022,s1a-iw-owi-cm-20220701t234834-20220701t234949-000003-053E0B_ll_gd_GEO-IRWIN.nc
al172020,s1b-iw-owi-cm-20200921t194728-20200921t194822-000003-02C997_ll_gd_GEO-IRWIN.nc
al172020,s1a-iw-owi-cm-20200916t092622-20200916t092738-000003-03FF8D_ll_gd_GEO-IRWIN.nc
al172020,s1a-iw-owi-cm-20200921t075828-20200921t075920-000003-04022D_ll_gd_GEO-IRWIN.nc
al172020,s1b-ew-owi-cm-20200918t081938-20200918t082143-000003-02C801_ll_gd_GEO-IRWIN.nc
al172020,s1b-iw-owi-cm-20200920t080530-20200920t080636-000003-02C8E1_ll_gd_GEO-IRWIN.nc
al172020,s1a-ew-owi-cm-20200919t081237-20200919t081514-000003-040117_ll_gd_GEO-IRWIN.nc
ep122022,s1a-iw-owi-cm-20220907t133107-20220907t133151-000003-055CF5_ll_gd_GEO-IRWIN.nc
al092024,s1a-iw-owi-cm-20240926t233642-20240926t233847-000003-06D316_ll_gd_GEO-IRWIN.nc
wp192021,rcm1-sc50mb-owi-cm-20210908t211259-20210908t211759-00003-______ll_gd_GEO-IRWIN.nc
wp192021,rcm2-sc50ma-owi-cm-20210914t093855-20210914t094255-00003-______ll_gd_GEO-IRWIN.nc
al092020,s1a-iw-owi-cm-20200803t231311-20200803t231426-000003-03E964_ll_gd_GEO-IRWIN.nc
al092020,s1b-iw-owi-cm-20200803t112425-20200803t112540-000003-02B314_ll_gd_GEO-IRWIN.nc
al092020,s1b-iw-owi-cm-20200802t231913-20200802t232034-000003-02B2DB_ll_gd_GEO-IRWIN.nc
