experiment_id          , Output                         , split                                                 , normalisation                                       , loss_used                                                                                              , Data augmentation                                                                                                                                                                         , mae_vmax, rmse_vmax, bias_vmax, regression_slope_vmax, regression_intercept_vmax, mae_rmax, rmse_rmax, bias_rmax, regression_slope_rmax, Reel_Rmax1D, Pred Rmax1D, Reel Vmax1D, Pred Vmax1D, Unet blocks      , SARGEO_version
IR (t_rel=0)           , Sar                            , randomly                                              , z_score                                             , pix2pix l1 loss                                                                                        , randomly on the train set                                                                                                                                                                 ,    28.29,     35.69, -15.01   , 0.04                 ,                     49.31,    49.07,     74.15, 0.67     ,                      ,        35  ,        43  ,       118.9,        92.3,  ("32-64-128-64"), "first_version"
IR (Average)           , Sar                            , randomly                                              , z_score                                             , pix2pix l1 loss                                                                                        , randomly on the train set                                                                                                                                                                 ,    27.71,     35.59, -14.96   , -0.01                ,                     52.74,    59.31,     82.28, 12.88    ,                      ,        35  ,        43  ,       118.9,        90.8,  ("32-64-128-64"), "first_version"
IR (All IRs channels)  , Sar                            , randomly                                              , z_score                                             , pix2pix l1 loss                                                                                        , randomly on the train set                                                                                                                                                                 ,    24.37,     30.34, -4.84    , 0.03                 ,                     60.5 ,    61.54,     82.55, 19.07    ,                      ,        35  ,        33  ,       118.9,        92.5,  ("32-64-128-64"), "first_version"
IR (t_rel=0)           , Sar                            , startified split using analysis_rmax and analysis_vmax, z_score                                             , pix2pix l1 loss                                                                                        , only examples with analysis_vmax grather than 100kt on the train set                                                                                                                      ,    17.3 ,     21.21, -5.59    , 0.37                 ,                     39.38,    55.48,     75.94, 37.15    ,                      ,        35  ,        37  ,       124.0,        97.8,  ("32-64-128-64"), "first_version"
IR (t_rel=0)           , Sar                            , startified split using analysis_rmax and analysis_vmax, z_score                                             , pix2pix l1 loss and gradient loss (same weights)                                                       , only examples with analysis_vmax grather than 100kt on the train set                                                                                                                      ,    19.16,     23.18, -16.07   , 0.56                 ,                     15.96,    31.82,     50.65, 2.37     ,                  0.46,        37  ,        33  ,       122.4,        97.7,  ("32-64-128-64"), "first_version"
IR (t_rel=0)           , Sar                            , startified split using analysis_rmax and analysis_vmax, z_score                                             , pix2pix l1 loss and radial profil loss(same weights)                                                   , only examples with analysis_vmax grather than 100kt on the train set                                                                                                                      ,    15.72,     20.81, -3.23    , 0.46                 ,                     35.82,    37.94,     58.77, 13.7     ,                  0.52,        37  ,        31  ,       122.4,       107.8,  ("32-64-128-64"), "first_version"
IR (t_rel=0)           , Sar                            , startified split using analysis_rmax and analysis_vmax, z_score                                             , pix2pix l1 loss(0.4) and radial profil loss(0.3) and gradient l1 loss(0.3)                             , only examples with analysis_vmax grather than 100kt on the train set                                                                                                                      ,    15.37,     19.3 , -10.68   , 0.64                 ,                     15.2 ,    32.63,     56.01, -8.39    ,                  0.22,        37  ,        31  ,       122.4,       103.9,  ("32-64-128-64"), "first_version"
IR (t_rel=0)           , Sar                            , startified split using analysis_rmax and analysis_vmax, z_score                                             , pix2pix l1 loss(1) and radial profil loss(1) and gradient l1 loss(4.0)                                 , only examples with analysis_vmax grather than 100kt on the train set                                                                                                                      ,    17.32,     23.33, -9.28    , 0.46                 ,                     28.41,    37.97,     61.2 , -0.85    ,                  0.34,        35  ,        37  ,       115.4,        99.9,  ("32-64-128-64"), "first_version"
IR (t_rel=0)           , Sar                            , startified split using analysis_rmax and analysis_vmax, z_score                                             , pix2pix l1 loss(1) and radial profil loss(1) and gradient l1 loss(4.0)                                 , Rotation for the examples with analysis_vmax grather than 60kt and vflips for the examples with analysis_rmax grather than 60km on the train set                                          ,    16.23,     21.3 , -6.92    , 0.45                 ,                     31.85,    42.44,     62.75, 13.78    ,                  0.42,        35  ,        35  ,       115.4,        98.9,  ("32-64-128-64"), "first_version"
IR (t_rel=0)           , Sar                            , startified split using analysis_rmax and analysis_vmax, radial_vmax_annular_normalisation                   , pix2pix l1 loss(1) and radial profil loss(1) and gradient l1 loss(4.0)                                 , Rotation for the examples with analysis_vmax grather than 60kt and vflips for the examples with analysis_rmax grather than 60km on the train set                                          ,    15.14,     20.56, -8.39    , 0.61                 ,                     19.32,    33.94,     56.55, -6.97    ,                  0.31,        35  ,        33  ,       115.4,       101.0,  ("32-64-128-64"), "first_version"
